async-2.3.x,stdlib
concat,(maybe)
concatSeries,(maybe)
detect,N/A
detectLimit,N/A
detectSeries,N/A
each,utils/for-each-async
eachLimit,utils/for-each-async
eachOf,utils/for-each-async
eachOfLimit,utils/for-each-async
eachOfSeries,utils/for-each-async
eachSeries,utils/for-each-async
every,utils/every-async
everyLimit,utils/every-async
everySeries,utils/every-async
filter,(maybe)
filterLimit,(maybe)
filterSeries,(maybe)
groupBy,utils/group-by-async
groupByLimit,utils/group-by-async
groupBySeries,utils/group-by-async
map,(planned)
mapLimit,(planned)
mapSeries,(planned)
mapValues,(maybe)
mapValuesLimit,(maybe)
mapValuesSeries,(maybe)
reduce,(planned)
reduceRight,(planned)
reject,(maybe)
rejectLimit,(maybe)
rejectSeries,(maybe)
some,(maybe)
someLimit,(maybe)
someSeries,(maybe)
sortBy,N/A
transform,N/A
applyEach,(planned)
applyEachSeries,(planned)
auto,N/A
autoInject,N/A
cargo,N/A
compose,(planned)
doDuring,N/A
doWhilst,N/A
during,N/A
forever,N/A
parallel,(planned)
parallelLimit,(planned)
priorityQueue,(planned)
queue,(planned)
race,(planned)
retry,(planned)
retryable,(planned)
seq,(planned)
series,(planned)
times,(planned)
timesLimit,(planned)
timesSeries,(planned)
until,(planned)
waterfall,utils/series-waterfall
whilst,(maybe)
apply,(maybe)
asyncify,(planned)
constant,(planned)
dir,N/A
ensureAsync,(planned)
log,N/A
memoize,(planned)
nextTick,(planned)
reflect,N/A
reflectAll,N/A
setImmedidate,(maybe)
timeout,(planned)
unmemoize,(maybe)
